"","word","freq"
"1","우리",26
"2","평화",17
"3","국민",16
"4","동북아",16
"5","여러분",16
"6","시대",14
"7","사회",12
"8","세계",12
"9","한반도",12
"10","북한",8
"11","경제",7
"12","발전",7
"13","대화",6
"14","번영",6
"15","비롯",6
"16","극복",5
"17","문제",5
"18","문화",5
"19","21",4
"20","개발",4
